,text,prod_id,ubp_score
18,zuck haselnuss davo 11 ganz kakaomass kokosfett vollmilchpulv kakaopulv sojamehl kakaobutt butterreinfett emulgator rapslecithi vanilleextrak kann spur mandel enthal schokolad 20 pralinenfullung 69 schokolad mind 60 kakao,3335,E
19,sonnenblumenol 36 tomatenmark 21 essig zuck wass molkenpulv sherry 40 speisesalz senfsamenpulv modifizier stark aroma enthal eier sauerungsmittel zitronensaur verdickungsmittel xantha cayennepfeff,3445,E
20,sonnenblumenol 27 wass branntweinessig zuck mangosaf 4 molkenpulv currypulv modifizier stark speisesalz wurz enthal senf sellerie farbstoff betacaroti sauerungsmittel zitronensaur verdickungsmittel xantha guarkernmehl krau paprikaextrak,3446,E
21,wass brau zuck zuck glukosesirup zuckerrubenmelass senfsam branntweinessig wurz,3502,E
22,tomatenmark 34 zuck essig brau zuck zwiebel 6 paprika 5 orangensaf modifizier stark speisesalz gurk zitronensaf wurz enthal senf aroma wurzextrak krauterextrak enthal sellerie raucharoma,3532,E
23,tomatenmark 48 essig zuck paprika rot zwiebel speisesalz modifizier stark knoblauch chili 05 wurz schnittlauch jalapeñochili 01 aroma enthal glu,3533,E
24,toma 174 g pro 100 g tomatenketchup branntweinessig zuck speisesalz wurzextrak enthal sellerie krauterextrak enthal sellerie sussstoff stevioglykosid wurz,3598,A
25,apriko antioxidationsmittel schwefeldioxid unter schutzatmosphar verpack,3901,E
26,zuta pfeff schwarz kornig,4719,E
27,zuta cayennepfeff mahl,4725,E
28,wass zuck kohlensaur sauerungsmittel citronensaur modifizier stark stabilisator e 440 e 445 e 444 aroma konservierungsmittel e 202 antioxidationsmittel ascorbinsaur farbstoff e 150d,4767,A
29,wass kohlensaur farbstoff e150d sussungsmittel aspartam acesulfamk sauerungsmittel orthophosphorsaur citronensaur saureregulator natriumcitra naturlich arom coffei,4770,A
30,wass kohlensaur farbstoff e150d sussungsmittel aspartam acesulfamk sauerungsmittel orthophosphorsaur citronensaur saureregulator natriumcitra naturlich arom coffei,4771,A
31,wass kohlensaur zuck sauerungsmittel citronensaur apfelsaur naturlich zitro limettenaroma saureregulator natriumcitra sussungsmittel steviolglycosid,4782,A
32,wass zuck maltodextri sauerungsmittel citronensaur natriumchlorid saureregulator natriumcitra monokaliumphospha magnesiumoxid emulgator e414 e445 aroma sussungsmittel sucralo acesulfamk farbstoff e133,4810,A
33,wass zuck maltodextri saurungsmittel citronensaur natriumchlorid saureregulator natriumcitra monokaliumphospha magnesiumoxid emulgator e414 e445 antioxidationsmittel ascorbinsaur naturlich aroma sussungsmittel sucralo acesulfamk farbstoff betacaroti,4813,A
34,weizenmehl zuck butt 19 vollmilchpulv butterreinfett 5 kochsalz naturlich aroma emulgator lecithi soja eiweisspulv eier bodenhaltung kann spur mandel haselnuss enthal,5339,E
35,weizenmehl zuck palmfett ungehar molkenpulv emulgator sojalecithi kochsalz farbstoff betacaroti,5377,E
36,weizenmehl zuck pflanzenfettol ungehar palm koko reisstark maltodextri maisstark kakaopulv fettarm 2 vollmilchpulv 2 weizenstark backtriebmittel diphospha natriumcarbona calciumcarbona kochsalz sauerungsmittel zitronensaur emulgator lecithi soja naturlich aroma kann spur mandel haselnuss enthal,5885,E
37,weizenmehl zuck pflanzenfettol ungehar koko palm sonnenblum aprikosenpuree 11 haselnuss glucosesirup invertzuckersirup magermilchpulv backtriebmittel diphospha natriumcarbona eiweisspulv liermittel pekti naturlich arom sauerungsmittel zitronensaur kochsalz maisstark emulgator lecithi soja dextro saureregulator natriumcitra calciumcitra eier bodenhaltung kann spur mandel enthal,5941,E
38,pflanzlich ole palm shea zuck 19 fettreduzier kakaopulv emulgator sonnenblumenlecithi kann enthal milch haselnuss,6400,E
39,milch kochsalz milchsaurebakterie mikrobiell lab,7273,E
40,pfefferminz,7361,E
41,558 milchschokolad zuck kakaobutt vollmilchpulv kakaomass magermilchpulv emulgator sojalecithi naturlich vanillearoma 39 malzhaltig trankepulv ovomalti rstenmalzextrak kondensier magermilch kondensier milchserum fettarm kakaopulv zuck frukto mineralstoff magnesiumcarbona dicalciumphospha vitami a e c thiami riboflavi niaci b6 folsaur b12 bioti pantothensaur speisesalz aroma vanilli uberzugmittel gummi arabicum schellack glucosesirup zuck kakaobutt kann enthal mandel haselnussekakao mind 32 schokolad,7397,E
42,kakaomass zuck 25 malzhaltig trankepulv ovomalti rstenmalzextrak kondensier magermilch kondensier milchserum fettarm kakaopulv zuck frukto mineralstoff magnesiumcarbona dicalciumphospha rapsol vitami a e c thiami riboflavi niaci b6 folsaur b12 bioti pantothensaur speisesalz aroma vanilli kakaobutt vollmilchpulv butterreinfett emulgator sojalecithinkann enthal mandel haselnussekakao 58 mind schokolad,7413,E
43,milch darau wonn erzeugniss,7702,E
44,crevett litopenaeu vannamei wass schutzglasur,7703,D
45,teilentrahm milch 25 fett aus schweiz bioproduktio,7704,C
46,weizenmehl wass pflanzlich ole palm rap sonnenblum olivenol kochsalz jodier ethanol hef emulgator e 491 kann eier milch enthal,7705,E
47,zuck weizenmehl pflanzlich ole fett palmk palm sonnenblum koko rap mandel 5 kakaomass magermilchpulv kakaobutt vollmilchpulv eiweisspulv bodenhaltung weizenstark haselnuss 15 invertzuckersirup hef glucosesirup butt kochsalz emulgator sojalecithi rstenmalzextrak kondensmilch naturlich arom backtriebmittel e 503 e 500 sauerungsmittel citronensaur kann sesam enthal,7706,E
48,naturlich mineralwass saphir kohlensaur,7711,A
49,zuck vollmilchpulv 26 kakaobutt kakaomass haselnuss mahl emulgator sojalecithi aroma kakao 31 mind schokolad kann mandel eier spur schalenfruch nuss enthal,7712,E
50,weizenmehl zuck kakaomass palmfett glukosesirup vollei flussig bodenhaltung magermilchpulv kakaobutt backtriebmittel e 450 e 500 butterreinfett glukosefruktosesirup weizenstark emulgator sonnenblumenlecithi kochsalz karamellzuckersirup vollmilchpulv aroma eiweisspulv eier bodenhaltung kann enthal hartschalenob nuss soja,7714,E
51,kartoffel rapsol 36 salz 1 schweiz,7717,E
52,weisskohl 96 meersalz streuwurz zwiebelpulv rapsol acerolapulv maltodextri antioxidationsmittel ascorbinsaur kummel aus auslandisch bioproduktio aus schweiz bioproduktio,7725,A
53,gojibeer kann enthal haselnuss mandel pecannuss paranuss walnuss cashewnuss pistazie macadamianussequeenslandnuss erdnuss,7727,E
54,weizenmehl wass zuck hef weizenstark sonnenblumenol sesam 15 kochsalz jodier weizenprotei bohnenmehl emulgator e 481 e 471 konservierungsstoff e 281 malzmehl rst mehlbehandlungsmittel ascorbinsaur ipsuiss qualita kann soja eier milch nuss enthal,7730,C
55,sonnenblumenol 67 alkohol weinessig zuck tomatenpuree 5 dreifach konzentrier vollei eigelb 43 eier freilandhaltung bio senf 25 alkoholessig wass senfsam jodier kochsalz zuck wurz zitronensaf konzentra meersalz kochsalz jodier kochsalz wurz,7736,E
56,rindfleisch kochsalz,7738,E
57,tafelessig 41 wass senfsam 20 jodier kochsalz zuck wurz,7742,E
58,tafelessig 42 wass senfsam 25 kochsalz jodier zuck wurz sauerungsmittel weinsaur wurzextrak,7743,E
59,sonnenblumenol 60 gurk 12 tafelessig wass eigelb 34 eier bodenhaltung zwiebel trock 12 kochsalz senfsam zuck schmackverstark natriumglutama weisswei pertersilie aroma weiz soja zitronensaftkonzentra wurz sauc sauerungsmittel weinsaur antioxidationsmittel natriummetabisulfi,7744,E
60,wass sonnenblumenol 31 tafelessig eigelb eier freilandhaltung 4 modifizier maisstark kochsalz jodier senf 15 zuck zitronensaftkonzentra verdickungsmittel xantha,7746,E
61,rindfleisch nitritpokelsalz kochsalz konservierungsstoff e 250 traubenzuck arom konservierungsstoff e 252,7752,E
62,boh,7757,B
63,chilisauc sweetsour 25 wass zuck chili 20 modifizier maisstark kochsalz knoblauch ingw sauerungsmittel essigsaur verdickungsmittel e 415 konservierungsstoff e 202 teigtasch musefullung 195 teig 36 weizenmehl kochsalz wass sojaol kartoffel 15 wasserkastanie 9 weiss mai 8 reisstrohpilz mai 6 boh 4 sojaol judasohr karott 2 zuck zwiebel 12 maisstark fruhlingszwiebel 07 kochsalz paniermehl weizenmehl zuck kochsalz hef knoblauch chili koria sesamol weiss pfeff fruhlingsroll crevett 195 teig 33 weizenmehl kochsalz wass sojaol crevett 25 yamboh taro karott crevettenfleisch 35 zwiebel zuck fadennudel mungoboh tapiokamehl kartoffelstark kochsalz zuck wass schalott fruhlingszwiebel sojaol knoblauch kochsalz weiss pfeff fruhlingsroll mus 155 teig 39 weizenmehl kochsalz wass sojaol yamboh weisskohl 12 karott 12 judasohr fadennudel mungoboh tapiokamehl kartoffelstark kochsalz zuck wass sojaol zwiebel 45 zuck fruhlingszwiebel kochsalz maisstark weiss pfeff sesamol riesencrevett panier 125 panad 49 weizenmehl zuck kochsalz hef riesencrevett 38 sojaol teig weizenmehl kochsalz verdickungsmittel e 415 backtriebmittel e 500 reismehl tapiokastark kochsalz backtriebmittel e 500 meeresfruchtezubereitung 78 teig 38 weizenmehl kochsalz wass sojaol yamboh susskartoffel crevett 10 pangasiu 9 karott fadennudel mungoboh tapiokamehl kartoffelstark kochsalz zuck wass sojaol judasohr zwiebel zuck schalott fruhlingszwiebel knoblauch kochsalz weiss pfeff chilipulv crevett penaeu vannamei zuch vietnam riesencrevett black tiger penaeu monodo zuch vietnam pangasiu pangasianodo hypophthalmu zuch vietnam,7759,E
64,dattel,7760,C
65,kartoffelpulv sonnenblumenol modifizier kartoffelstark kochsalz zuck zwiebelpulv aroma sussmolkenpulv hefeextrak magermilchpulv knoblauchpulv sauerungsmittel milchsaur petersilie,7762,E
66,weizenmehl mozzarella 21 wass schweinefleischerzeugni 7 schweinefleisch schweiz nitritpokelsalz kochsalz konservierungsstoff e 250 wurz knoblauch chili paprika gluco antioxidationsmittel e 301 farbstoff e 160c tomatenkonzentra 5 zwiebel 45 chili 2 hef weizenprotei kochsalz jodier olivenol modifizier maisstark trock sauerteig weiz weizenquellmehl hartweizengriess weizenquellstark zuck wurzextrak zitronensaftkonzentra naturlich basilikumaroma gluco malzmehl rst emulgator sonnenblumenlecithi mehlbehandlungsmittel ascorbinsaur kann fisch enthal,7763,E
67,reis 43 ganzewhea 31 zuck rst 75 friergetrock fruech 5 himbeer erdbeer kirsch roe rstenmehl 35 rstenmalzaroma salz vitami mineralie niaci eise vitami b6 vitami b2 riboflavi vitami b1 thiami folsauur vitami b12,7765,D
68,zuck magermilchpulv kakaobutt glukosesirup rstenmalzextrak kakaomass butterreinfett milch milchzuck sussmolkenpulv milch palmfett weizenmehl emulgator sojalecithi backtriebmittel e341 e500 e501 uberzugsmittel pekti salz naturlich vanilleextrak,7768,E
69,zuck magermilchpulv kakaobutt glukosesirup rstenmalzextrak kakaomass butterreinfett milch milchzuck sussmolkenpulv milch palmfett weizenmehl emulgator sojalecithi backtriebmittel e341 e500 e501 uberzugsmittel pekti salz naturlich vanilleextrak,7768,E
70,vollmilch rahm molkenerzeugniss milch krau zwiebel knoblauch speisesalz stabilisator johannisbrotkernmehl carragee sauerungsmittel citronensaur aroma enthal sellerie,7770,E
71,zuck glukosesirup erdnuss magermilchpulv kakaobutt kakaomass sonnenblumenol milchzuck butterreinfett milch sussmolkenpulv milch palmfett salz emulgator sojalecithi huhnereitrockeneiweiss milcheiweiss naturlich vanilleextrak kann enthal haselnuss,7773,E
72,zuck glukosesirup erdnuss magermilchpulv kakaobutt kakaomass sonnenblumenol milchzuck butterreinfett milch sussmolkenpulv milch palmfett salz emulgator sojalecithi huhnereitrockeneiweiss milcheiweiss naturlich vanilleextrak kann enthal haselnuss,7773,E
73,weizenmehl wass hef sonnenblumenol weizenprotei kochsalz jodier zuck malzmehl rst saureregulator natriumhydroxid mehlbehandlungsmittel ascorbinsaur ipsuiss qualita nuss sesam soja eier milch enthal stoff erzeugniss allergie unvertraglichkei auslo glu,7779,C
74,schweinefleisch nitritpokelsalz jodier kochsalz konservierungsstoff e 250 traubenzuck glucosesirup stabilisator e 450 antioxidationsmittel e 301,7787,E
75,weizenmehl crevett litopenaeu vannamei 40 maismehl sojaol tapiokastark kochsalz zuck verdickungsmittel guarkernmehl hef schmacksverstark mononatriumglutama farbstoff e 160 b maisstark,7788,D
76,milch kochsalz milchsaurebakterie mikrobiell lab,7790,E
77,kakaobutt zuck vollmilchpulv caramelzuck 50 molkenpulv emulgator sojalecithi arom kann haselnuss mandel spur schalenfruch nuss enthal,7791,E
78,zuck kakaobutt vollmilchpulv magermilchpulv emulgator sojalecithi vanilleextrak naturlich aroma kann haselnuss mandel spur schalenfruch nuss enthal,7792,E
79,roggenvollkornmehl roggenmehl 29 g hef salzkann spur von sesamsam und milch enthalteni g pro 100 g produk,7795,E
80,schweinefleisch speck rindfleisch schmelzka 13 kas milchprotei wass butt maisstark schmelzsalz e 339 e 452 kochsalz verdickungsmittel johannisbrotkernmehl wass schwar nitritpokelsalz kochsalz konservierungsstoff e 250 wurz emulgator e 471 stabilisator e 450 e 451 traubenzuck sauerungsmittel e 262 e 331 schmacksverstark mononatriumglutama antioxidationsmittel e 301 e 331 hefeextrak hull rinderdarm,7796,E
81,hartweizengriess vollei 135 freilandhaltung kochsalz,7798,E
82,radiesch,7799,E
83,pasteurisier molk rahm milch undod molk salz saureregulator milchsaur citronensaur,7802,E
84,weiss spargel china wass kochsalz antioxidationsmittel citronensaur,7806,E
85,joghur mager magermilch milchprotei wass flussig kaffeeextrak 22 frukto karamellisier zuckersirup verdickungsmittel pekti sussungsmittel aspartam enthal phenylalaninquell,7809,D
86,magerjoghur magermilch milchprotei himbeersaftkonzentra 88 frukto verdickungsmittel pekti farb lebensmittel randensaftkonzentra sussungsmittel aspartam aroma enthal phenylalaninquell,7811,D
87,crevett litopenaeu vannamei wass schutzglasur kochsalz,7812,D
88,kartoffelpulv sonnenblumenol modifizier kartoffelstark aroma enthal milch kochsalz hefeextrak paprikapulv 06 zwiebelpulv knoblauchpulv farbstoff e 160c raucharoma,7816,E
89,naturlich mineralwass kohlensaur,7822,A
90,mineralwass,7823,A
91,weizenmehl wass pflanzlich ole palm rap backtriebmittel e 500 e 450 e 341 olivenol kochsalz jodier ethanol trock sauerteig weiz inaktivier hef hef kann eier milch enthal,7825,E
92,jodier speisesalz schmacksverstark mononatriumglutama milchzuck weizenstark hefeextrak wurz zwiebel knoblauch curcuma selleriesam nelk lorbeer pflanzlich ole palm sonnenblum trennmittel siliciumdioxid pilzextrak kann spur ei senf enthal,7826,E
93,jodier speisesalz schmacksverstark mononatriumglutama milchzuck weizenstark hefeextrak wurz zwiebel knoblauch curcuma selleriesam nelk lorbeer pflanzlich ole palm sonnenblum trennmittel siliciumdioxid pilzextrak kann spur ei senf enthal,7827,E
94,jodier speisesalz schmacksverstark mononatriumglutama milchzuck weizenstark hefeextrak wurz zwiebel knoblauch curcuma selleriesam nelk lorbeer pflanzlich ole palm sonnenblum trennmittel siliciumdioxid pilzextrak kann spur ei senf enthal,7827,E
95,kalbfleisch 36 speck schweinefleisch wass milch jodier kochsalz milchzuck milchprotei wurz zwiebel stabilisator e 450 saureregulator e 262 wurz hefeextrak antioxidationsmittel e 301 citronensaur hull schweinedarm,7837,E
96,zuck kakaomass kakaobutt emulgator sojalecithi kakaopulv arom kakao 46 mind kann milch haselnuss mandel spur schalenfruch nuss enthal,7840,E
97,cranberrie 60 zuck sonnenblumenol,7842,E
98,weizenmehl wass pflanzlich ole palm rap kochsalz jodier sauerungsmittel citronensaur konservierungsstoff e 202 kann eier milch enthal,7845,E
99,milch saz lab kultur,7847,E
100,schweiz rahmka pasteurisier milch enthaltmilch milcherzeugniss,7847,E
101,zuck quittensaf konzentra sauerungsmittel citronensaur liermittel pekti,7848,A
102,schweinefleisch nitritpokelsalz kochsalz konservierungsmittel e 250 wurzmischung maltodextri gluco hefeextrak stabilisator e 451 antioxidationsmittel e 301 aroma,7849,E
103,gru oliv entstei griechenla kochsalz sauerungsmittel milchsaur,7850,D
104,jodier speisesalz milchzuck schmacksverstark mononatriumglutama dinatriuminosina dinatriumguanyla hefeextrak rindfleischextrak arom soja sonnenblumenol zwiebel wurz curcuma liebstockel bockshornkleesam muskatnuss sauerungsmittel citronensaur karott petersilie kann spur glu ei sellerie senf enthal,7854,E
105,weizenmehl butt 22 zuck vollei bodenhaltung wass zitronenschal zuck wass zitronenol sauerungsmittel citronensaur konservierungsstoff e 202 natriummetabisulfi kochsalz jodier naturlich zitronenaroma naturlich arom backtriebmittel e 503 kann nuss sesam soja enthal,7862,E
106,rindfleisch kochsalz wurz zuck gluco maltodextri antioxidationsmittel natriumascorba natriumcitra konservierungsstoff natriumnitri kaliumnitra reifekultur 100 g beef chip 180 g rindfleisch hergestell,7866,E
107,vollmilchschokolad 40 zuck vollmilchpulv kakaobutt kakaomass emulgator lecithi soja vanilli zuck magermilchpulv 18 palmol butterreinfett emulgator lecithi soja vanilli zuck samtmilchbestandteil produk 33 samtkakaobestandteil produk 13,7868,E
108,hartweizengriess kann eier enthal,7871,E
109,vollmilch rahm molkenerzeugniss milch speisesalz stabilisator johannisbrotkernmehl sauerungsmittel citronensaur,7874,E
110,rindfleisch schweiz fettgehal wenig 14 verhaltni bindegeweb fleischeiweiss wenig 15 aus schweiz bioproduktio,7875,E
111,mai 62 indie wass alkoholessig zuck kochsalz sauerungsmittel citronensaur antioxidationsmittel ascorbinsaur,7877,B
112,natriumchlorid nacl mind 98 iod ki zugesetz i 25 mgkg antiklumpmittel e 341ca3po42 ca 1,7880,E
113,chicoré,7882,D
114,weizenmehl66 zuck schokoladenpulver11zuck kakaopulver35 fettarm kakaopulver55 glukosesirup salz zim naturlich aroma,7885,D
115,teilentrahm milch 8 erdbeersaf konzentra zuck vollei pasteurisier dextro 2g100g maltodextri 2g100g loslich ballaststoff inuli stabilisator e339 randensaftkonzentra arom milchmineralstoffkonzentra verdickungsmittel carragee vitami eb6b2b1d,7887,D
116,teilentrahm milch 8 erdbeersaf konzentra zuck vollei pasteurisier dextro 2g100g maltodextri 2g100g loslich ballaststoff inuli stabilisator e339 randensaftkonzentra arom milchmineralstoffkonzentra verdickungsmittel carragee vitami eb6 b2b1d,7887,D
117,kartoffel rapsol 36 salz schweiz 1,7890,E
118,kartoffel rapsol 33 wurzzubereitung maltodextri traubenzuck salz schweiz 11 paprikapulv hefeextrak zwiebelpulv kartoffelstark farbstoff paprikaextrak raucharoma wurzextrak naturlich aroma,7891,E
119,wass wurzzubereitung meerrettich 16 sonnenblumenol rapsol wass tafelessig kochsalz konservierungsstoff natriummetabisulfi glucosesirup rahm 8 kokosol zuck emulgator e 472b weiss balsamico essig weinessig zuck butt milchprotei kochsalz konservierungsstoff kaliumsorba,7892,A
120,rehydrier trock toma 50 sonnenblumenol nativ olivenol extra 2 salz zuck knoblauch oregano 015 sauerungsmittel zitronensaur antioxidationsmittel ascorbinsaur schwarz pfeff,7894,A
121,zuck brombeer sauerungsmittel citronensaur liermittel pekti,7895,A
122,atlantisch lach salmo salar 935 meersalz zitronenschal 14 ingw mahl olivenol zitro 07 krautermischung 04 zitronenol 003 aus auslandisch bioproduktio aus schweiz bioproduktio,7897,E
123,bana,7902,A
124,champigno,7903,C
125,mai 84 pol wass zuck kochsalz,7908,B
126,borlottiboh china wass kochsalz antioxidationsmittel ascorbinsaur,7909,B
127,zuck maltodextri fruchtzuck verdickungsmittel gummi arabicum reisstark trennmittel magnesiumsalz speisefettsaur arom pfefferminzol uberzugsmittel carnaubawach,7910,A
128,zuck weizenmehl mehrfruchtzubereitung 17 zuck gluco wass apfelpuree antioxidationsmittel citronensaur zwetschgensaf konzentra kirschensaf konzentra himbeerpuree konzentra zitronensaftkonzentra liermittel pekti farb fruchtkonzentra holunderbeer invertzuck naturlich arom saureregulator e 331 sauerungsmittel e 333 haselnuss 12 pflanzenmargari palmol rapsol wass emulgator e 471 invertzuckersirup weizenprotei huhnereieiweisspulv bodenhaltung volleipulv bodenhaltung backtriebmittel e 500 e 503 magermilchpulv malzmehl rst naturlich zitronenaroma naturlich arom kochsalz milchzuck,7912,E
129,zuck 43 mai 29 glucosesirup kokosol kakaomass 5 emulgator e 471 pflanzlich kann milch haselnuss mandel soja spur schalenfruch nuss enthal,7913,E
130,magermilch ch rahm 10 zuck maisstark schokoladenpulv 15 verdickungsmittel carragee xantha emulgator e 471 e 472b kakaopulv fettarm speisegelati fructo milchprotei rainfor allianc zertifizierttm,7914,D
131,hartweizengriess vollei 135 freilandhaltung kochsalz,7917,E
132,sauermilch 63 pasteurisier milch himbeer 20 zuck rahm 56 milchprotei modifizier stark aroma zitronensaftkonzentra,7918,D
133,zuck kakaobutt magermilchpulv kakaomass butterreinfett emulgator sojalecithi naturlich aroma kakao 30 mind kann haselnuss mandel spur schalenfruch nuss enthal,7919,E
134,zuck vollmilchpulv 26 kakaobutt kakaomass haselnuss mahl emulgator sojalecithi aroma kakao 31 mind kann mandel spur schalenfruch nuss enthal,7921,E
135,hartweizengriess kann spur ei enthal stoff erzeugniss allergie unvertraglichkei auslo glu spur eier,7935,E
136,kas 64 wass butt molkenpulv schmelzsalz e 452 kochsalz saureregulator e 500 milchsaur,7936,E
137,schweinefleisch wass speck kalbskopfblock kochsalz wurzmischung glucosesirup stabilisator e 450 e 452 emulgator e 471 antioxidationsmittel e 331 zwiebelgriess jodier kochsalz zuck hefeextrak,7938,E
138,magermilch ch rahm 10 zuck caramelsirup 69 glucosesirup caramelzuck wass maisstark verdickungsmittel carragee xantha emulgator e 471 e 472b aroma speisegelati fructo milchprotei,7939,D
139,vollmilchjoghur vollmilch magermilchpulv milchprotei zuck 89 erdbeer 88 zitronenkonzentra aus schweiz bioproduktio aus auslandisch bioproduktio,7941,D
140,mai 95 zuck kochsalz emulgator sojalecithi aus auslandisch bioproduktio,7945,D
141,zuck trennmittel e341,7946,A
142,toma 70 tomatensaf,7947,A
143,rindfleisch jodier kochsalz wurzmischung traubenzuck saureregulator e 262 antioxidationsmittel ascorbinsaur e 301 e 331,7948,E
144,weizenmehl tomatenpuree 21 mozzarella kas 20 edam kas 7 wass rapsol toma 45 hef kochsalz spina zuck krau knoblauch wurz weiz kartoffelstark weizenprotei kann enthal sellerie,7949,E
145,wass magermilch 20 pflanzenfett 15 kokosfett teilwei har palmfett har buttermilchpulv milchzuck modifizier wachsmaisstark verdickungsmittel guarkernmehl emulgator e 472 stabilisator e 339 farbstoff caroti,7950,E
146,trinkwass speisesalz schmackverstark mononatriumglutama farbstoff amoniakzuckerkulor sauerungsmittel citronensaur aroma,7951,E
147,sauerrahm aus schweiz bioproduktio,7954,E
148,hartweizengriess vollei 135 freilandhaltung kochsalz,7973,E
149,flusskreb procambaru clarkii sauerungsmittel natriumcitra milchsaur jodier kochsalz,7977,E
150,maiskolbch 54 indie wass alkoholessig zuck kochsalz wurzextrak sauerungsmittel citronensaur antioxidationsmittel ascorbinsaur,7979,B
151,eisbergsala aus schweiz bioproduktio aus auslandisch bioproduktio,7984,D
152,wass pflanzlich ole sonnenblum lein rap palmol emulgator e471 kochsalz vitami e b6 a folsaur d b12 naturlich aroma sauerungsmittel citronensaur farbstoff betacaroti,7991,E
153,rohrohrzuck aus auslandisch bioproduktio,7992,A
154,pfefferminzblatt,7997,A
155,basilikum,8002,A
156,hartweizengriess vollei 135 freilandhaltung kochsalz ipsuiss qualita,8007,E
157,hartweizengriess vollei 18 freilandhaltung spinatpulv 09 tomatenpulv 07 kochsalz rotebetepulv ipsuiss qualita,8008,E
158,weizenmehl wass hef weizenprotei kochsalz jodier malzmehl rst mehlbehandlungsmittel ascorbinsaur ipsuiss qualita kann nuss sesam soja eier milch enthal,8011,C
159,sonnenblumenol wass joghur teilentrahm 15 cornicho 6 eigelb freilandhaltung alkoholessig kochsalz modifizier wachsmaisstark buttermilchpulv zwiebel trock 06 senf kaper 04 schnittlauch 04 petersilie hefeextrak naturlich aroma verdickungsmittel e 415 zuck cayennepfeff farbstoff kurkuma,8014,E
160,sonnenblumenol wass saucenzubereitung 15 tomatenkonzentra 30 zuck wass kochsalz senf suss roséwei zitronensaftkonzentra zwiebelpulv alkoholessig hefeextraktpulv knoblauchpulv aroma verdickungsmittel xantha pfeff weiss farbstoff paprikaextrak joghur teilentrahm 14 milch halbentrahm rahm milchprotei eigelb salz eigelb eier freilandhaltung kochsalz alkoholessig modifizier stark buttermilchpulv senf suss senfkor wass alkoholessig kochsalz zuck kurkuma kochsalz verdickungsmittel xantha,8015,E
161,sonnenblumenol wass joghur 15 milch halbentrahm rahm milchprotei saucenzubereitung 10 wass knoblauch 30 kochsalz hefeextrak zitronensaftkonzentra zuck verdickungsmittel xantha knoblauchpulv 003 naturlich aroma enthal senf eigelb salz eigelb eier freilandhaltung kochsalz alkoholessig modifizier stark buttermilchpulv senf suss wass senfkor alkoholessig kochsalz zuck kurkuma kochsalz verdickungsmittel xantha,8016,E
162,doppelrahm ch verdickungsmittel e 407,8023,E
163,apfel 90 zuck antioxidationsmittel ascorbinsaur sauerungsmittel citronensaur,8025,B
164,zuck kakaobutt magermilchpulv butterreinfett emulgator sojalecithi naturlich aroma kann haselnuss mandel spur schalenfruch nuss enthal,8027,E
165,atlantisch lach salmo salar kochsalz zuck enthal fisch,8028,E
166,atlantisch lach salmo salar kochsalz zuck enthal fisch,8028,E
167,butt,8030,E
168,gurk,8032,D
169,zwiebel,8036,A
170,butt,8038,E
171,safra,8039,E
172,weisskohl 60 karott 40 aus auslandisch bioproduktio aus schweiz bioproduktio kann enthal sellerie,8040,D
173,weisskohl aus schweiz bioproduktio aus auslandisch bioproduktio kann enthal sellerie,8042,D
174,rahm eu milch eu saureregulator citronensaur enthaltmilch milcherzeugniss,8047,E
